dataset,model_type,activation,bn,aug,seed,test_acc,train_time_minutes,num_params
mnist_rot,equivariant,gated_sigmoid,Normbn,True,3,0.98966,5.13,1206662
mnist_rot,equivariant,gated_sigmoid,Normbn,True,4,0.9892,4.97,1206662
mnist_rot,equivariant,norm_elu,Normbn,False,0,0.97736,5.95,1173016
mnist_rot,equivariant,norm_elu,Normbn,False,1,0.97688,5.35,1173016
mnist_rot,equivariant,norm_elu,Normbn,False,2,0.97784,5.92,1173016
mnist_rot,equivariant,norm_elu,Normbn,False,3,0.97628,5.4,1173016
mnist_rot,equivariant,norm_elu,Normbn,False,4,0.97682,5.98,1173016
mnist_rot,equivariant,norm_elu,Normbn,True,0,0.98218,5.37,1173016
mnist_rot,equivariant,norm_elu,Normbn,True,1,0.9826,5.97,1173016
mnist_rot,equivariant,norm_elu,Normbn,True,2,0.98322,5.38,1173016
mnist_rot,equivariant,norm_elu,Normbn,True,3,0.98352,5.87,1173016
mnist_rot,equivariant,norm_elu,Normbn,True,4,0.98246,5.38,1173016
mnist_rot,equivariant,norm_relu,Normbn,False,0,0.98732,5.75,1173991
mnist_rot,equivariant,norm_relu,Normbn,False,1,0.98686,5.52,1173991
mnist_rot,equivariant,norm_relu,Normbn,False,2,0.98654,6.03,1173991
mnist_rot,equivariant,norm_relu,Normbn,False,3,0.98654,5.53,1173991
mnist_rot,equivariant,norm_relu,Normbn,False,4,0.98762,5.88,1173991
mnist_rot,equivariant,norm_relu,Normbn,True,0,0.9875,5.57,1173991
mnist_rot,equivariant,norm_relu,Normbn,True,1,0.98748,5.75,1173991
mnist_rot,equivariant,norm_relu,Normbn,True,2,0.9865,5.6,1173991
mnist_rot,equivariant,norm_relu,Normbn,True,3,0.98814,5.73,1173991
mnist_rot,equivariant,norm_relu,Normbn,True,4,0.98818,5.52,1173991
mnist_rot,equivariant,norm_sigmoid,Normbn,False,0,0.97814,6.0,1173016
mnist_rot,equivariant,norm_sigmoid,Normbn,False,1,0.97882,5.35,1173016
mnist_rot,equivariant,norm_sigmoid,Normbn,False,2,0.98106,6.05,1173016
mnist_rot,equivariant,norm_sigmoid,Normbn,False,3,0.97932,5.33,1173016
mnist_rot,equivariant,norm_sigmoid,Normbn,False,4,0.98002,5.98,1173016
mnist_rot,equivariant,norm_sigmoid,Normbn,True,0,0.98214,5.4,1173016
mnist_rot,equivariant,norm_sigmoid,Normbn,True,1,0.98306,5.58,1173016
mnist_rot,equivariant,norm_sigmoid,Normbn,True,2,0.9841,5.33,1173016
mnist_rot,equivariant,norm_sigmoid,Normbn,True,3,0.98288,5.98,1173016
mnist_rot,equivariant,norm_sigmoid,Normbn,True,4,0.9835,5.38,1173016
mnist_rot,equivariant,normbn_elu,Normbn,False,0,0.9729,5.38,1173991
mnist_rot,equivariant,normbn_elu,Normbn,False,1,0.9706,5.08,1173991
mnist_rot,equivariant,normbn_elu,Normbn,False,2,0.97222,5.33,1173991
mnist_rot,equivariant,normbn_elu,Normbn,False,3,0.97054,5.32,1173991
mnist_rot,equivariant,normbn_elu,Normbn,False,4,0.97262,5.4,1173991
mnist_rot,equivariant,normbn_elu,Normbn,True,0,0.9682,5.43,1173991
mnist_rot,equivariant,normbn_elu,Normbn,True,1,0.96972,5.13,1173991
mnist_rot,equivariant,normbn_elu,Normbn,True,2,0.96992,5.48,1173991
mnist_rot,equivariant,normbn_elu,Normbn,True,3,0.96872,5.12,1173991
mnist_rot,equivariant,normbn_elu,Normbn,True,4,0.96776,5.08,1173991
mnist_rot,equivariant,normbn_relu,Normbn,False,0,0.97878,5.0,1173991
mnist_rot,equivariant,normbn_relu,Normbn,False,1,0.97702,5.18,1173991
mnist_rot,equivariant,normbn_relu,Normbn,False,2,0.97702,4.95,1173991
mnist_rot,equivariant,normbn_relu,Normbn,False,3,0.97862,5.23,1173991
