dataset,model_type,activation,bn,aug,seed,test_acc,train_time_minutes,num_params,invariance_error
mnist_rot,equivariant,fourierbn_relu_64,Normbn,False,4,0.98992,11.12,1172041,0.1037889719009399
mnist_rot,equivariant,fourierbn_relu_64,Normbn,True,0,0.9913,9.63,1172041,0.1115962713956832
mnist_rot,equivariant,fourierbn_relu_64,Normbn,True,1,0.99038,8.8,1172041,0.1185424327850341
mnist_rot,equivariant,fourierbn_relu_64,Normbn,True,2,0.99064,9.35,1172041,0.1089231818914413
mnist_rot,equivariant,fourierbn_relu_64,Normbn,True,3,0.9911,10.4,1172041,0.1104252934455871
mnist_rot,equivariant,fourierbn_relu_64,Normbn,True,4,0.99076,9.18,1172041,0.1145042479038238
mnist_rot,equivariant,fourierbn_relu_8,Normbn,False,0,0.98966,7.08,1172041,0.1087254360318183
mnist_rot,equivariant,fourierbn_relu_8,Normbn,False,1,0.98958,8.03,1172041,0.1271608471870422
mnist_rot,equivariant,fourierbn_relu_8,Normbn,False,2,0.98998,7.35,1172041,0.1039631217718124
mnist_rot,equivariant,fourierbn_relu_8,Normbn,False,3,0.98892,7.47,1172041,0.111652135848999
mnist_rot,equivariant,fourierbn_relu_8,Normbn,False,4,0.99012,7.8,1172041,0.1204739063978195
mnist_rot,equivariant,fourierbn_relu_8,Normbn,True,0,0.99016,7.07,1172041,0.1109429150819778
mnist_rot,equivariant,fourierbn_relu_8,Normbn,True,1,0.99068,7.4,1172041,0.1173828467726707
mnist_rot,equivariant,fourierbn_relu_8,Normbn,True,2,0.99092,7.57,1172041,0.1289498805999755
mnist_rot,equivariant,fourierbn_relu_8,Normbn,True,3,0.99068,6.97,1172041,0.1151471138000488
mnist_rot,equivariant,fourierbn_relu_8,Normbn,True,4,0.9905,7.82,1172041,0.1176155358552932
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,False,0,0.98818,4.47,1186402,0.1240940392017364
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,False,1,0.98824,4.23,1186402,0.1162591725587844
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,False,2,0.98772,4.38,1186402,0.1221875101327896
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,False,3,0.9859,4.23,1186402,0.1089223325252533
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,False,4,0.98848,4.52,1186402,0.1291059255599975
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,True,0,0.98926,4.27,1186402,0.1216584891080856
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,True,1,0.98934,4.38,1186402,0.1165148168802261
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,True,2,0.98868,4.23,1186402,0.1212991178035736
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,True,3,0.98974,4.58,1186402,0.1242031976580619
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,True,4,0.98964,4.23,1186402,0.1351365000009536
mnist_rot,equivariant,gated_sigmoid,Normbn,False,0,0.9889,5.17,1206662,0.14491768181324
mnist_rot,equivariant,gated_sigmoid,Normbn,False,1,0.98768,5.0,1206662,0.1361922025680542
mnist_rot,equivariant,gated_sigmoid,Normbn,False,2,0.98824,5.17,1206662,0.1350514441728592
mnist_rot,equivariant,gated_sigmoid,Normbn,False,3,0.98806,4.97,1206662,0.1358816772699356
mnist_rot,equivariant,gated_sigmoid,Normbn,False,4,0.98802,5.18,1206662,0.1337720155715942
mnist_rot,equivariant,gated_sigmoid,Normbn,True,0,0.98866,4.9,1206662,0.1381298303604126
